"Label","Chrome for Android","Safari iPhone","Samsung Internet 28.0","Whale 1.0","Samsung Internet 27.0","Chrome for iPhone","Samsung Internet 29.0","Chrome 138.0","Chrome 143.0","Chrome 135.0","Chrome 141.0","Chrome 142.0","Other (dotted)"
"","24.38","10.48","0.04","7.03","14.59","3.46","0","0","0","0.01","0","0","40.02"
"Mar 2025","24.42","10.47","0.04","6.77","14.29","3.51","0","0","0","0.02","0","0","40.48"
"Apr 2025","24.82","10","2.82","7.08","11.69","3.52","0","0","0","17.96","0","0","22.11"
"May 2025","25.38","10.49","11.96","6.33","2.28","3.76","0","0.01","0","5.55","0","0","34.24"
"June 2025","26.67","10.24","13.56","6.13","0.55","3.85","0","0.85","0","0.15","0","0","38.01"
"July 2025","28.07","9.86","13.76","5.97","0.42","3.6","0","19.4","0","0.16","0","0","18.76"
"Aug 2025","27.09","8.89","14.39","5.54","0.29","3.43","0","10.52","0","0.12","0.01","0","29.71"
"Sept 2025","28.15","8.59","14.7","4.83","0.23","3.41","0.02","0.42","0","0.06","0.03","0.01","39.55"
"Oct 2025","28.11","8.38","12.92","4.17","0.22","3.47","1.43","0.19","0.01","0.05","18.44","0.23","22.39"
"Nov 2025","21.86","8.5","1.47","5.15","0.19","2.45","12.4","0.19","0.06","0.06","5.83","22.93","18.92"
"Dec 2025","19.68","8.73","0.55","5.88","0.13","2.23","11.56","0.14","18.15","0.14","0.21","9.12","23.48"
"Jan 2026","19.12","9.12","0.35","6.04","0.09","2.34","10.79","0.13","19.93","0.1","0.31","0.3","31.38"
"Feb 2026","20.03","11.6","0.29","6.53","0.08","3.09","11.72","0.11","0.53","0.03","0.1","0.1","45.78"