"Label","Windows","Unknown","OS X","macOS","Linux","Chrome OS","Other (dotted)"
"","86.27","6.69","5.55","0","1.41","0.07","0"
"Mar 2025","86.66","6.06","4.36","1.41","1.41","0.1","0"
"Apr 2025","85.47","7.22","2.62","3.45","1.15","0.09","0"
"May 2025","84.51","8.18","2.48","3.77","0.93","0.12","0"
"June 2025","83.15","9.99","2.3","3.36","1.07","0.12","0"
"July 2025","82.77","10.71","2.11","3.34","0.96","0.1","0"
"Aug 2025","82.76","11.03","1.98","3.25","0.94","0.04","0"
"Sept 2025","81.81","11.82","2.06","3.25","0.97","0.1","0"
"Oct 2025","79.97","12.42","3.4","3.12","1.01","0.09","0"
"Nov 2025","83.57","8.86","3.01","3.39","1.06","0.1","0"
"Dec 2025","82.79","7.54","5.11","3.31","1.18","0.08","0"
"Jan 2026","83.58","7.64","3.8","3.28","1.67","0.02","0"
"Feb 2026","81.89","10.96","2.38","3.67","1.07","0.03","0"