"Label","Samsung","Apple","Unknown","Google","Xiaomi","LG","Vivo","Huawei","Oppo","Lenovo","Other (dotted)"
"","69.13","24.19","4.5","0.06","0.62","0.85","0.11","0.1","0.11","0.08","0.24"
"Mar 2025","69.09","24.39","4.26","0.08","0.68","0.8","0.11","0.11","0.12","0.09","0.26"
"Apr 2025","69.44","23.68","4.38","0.25","0.68","0.83","0.12","0.12","0.11","0.09","0.29"
"May 2025","67.76","25","4.84","0.23","0.62","0.75","0.13","0.12","0.13","0.08","0.34"
"June 2025","67.44","24.68","5.56","0.21","0.61","0.78","0.11","0.11","0.12","0.09","0.3"
"July 2025","67.78","23.42","6.67","0.23","0.55","0.71","0.1","0.1","0.09","0.07","0.27"
"Aug 2025","67.92","22.3","7.42","0.14","0.83","0.67","0.11","0.12","0.11","0.09","0.29"
"Sept 2025","67.72","21.87","8.02","0.25","0.84","0.63","0.11","0.11","0.1","0.08","0.28"
"Oct 2025","66.43","22.86","7.27","1.42","0.81","0.56","0.1","0.11","0.09","0.08","0.27"
"Nov 2025","63.35","24.42","6.97","2.92","1","0.51","0.15","0.13","0.1","0.12","0.32"
"Dec 2025","58.91","26.55","7.37","4.45","1.36","0.46","0.2","0.14","0.14","0.07","0.35"
"Jan 2026","56.95","28.03","8.09","3.97","1.53","0.46","0.18","0.17","0.15","0.1","0.36"
"Feb 2026","57.76","30.94","8.34","0.9","0.7","0.47","0.17","0.15","0.15","0.12","0.32"