"Label","iOS 18.5","iOS 18.3","iOS 18.6","iOS 18.4","iOS 18.1","iOS 18.7","iOS 26.2","Other (dotted)"
"","0","33.55","0","0.08","31.99","0","0","34.38"
"Mar 2025","0","67.65","0","1.15","8.9","0","0","22.3"
"Apr 2025","0.45","57.7","0","17.02","5.83","0","0","18.99"
"May 2025","13.97","13.58","0","52.98","3.67","0","0","15.8"
"June 2025","69.84","5.62","0.15","7.82","2.7","0","0","13.86"
"July 2025","78.12","3.54","0.78","2.91","2","0","0","12.65"
"Aug 2025","47.01","2.95","34.62","2.08","1.78","0","0","11.56"
"Sept 2025","15.28","2.27","62.68","1.59","1.5","1.42","0","15.26"
"Oct 2025","9.08","1.87","47.08","1.24","1.25","13.42","0","26.06"
"Nov 2025","7.72","1.74","40.26","1.12","1.27","19.26","0.2","28.44"
"Dec 2025","6.82","1.55","30.14","0.95","1.01","24.4","2.61","32.53"
"Jan 2026","5.73","1.51","21.32","0.83","0.84","19.33","24","26.45"
"Feb 2026","4.01","1.36","11.5","0.95","0.86","7.46","51.42","22.44"